text,label
maennya bener bang,Normal
sembahyang mengadopsi tradisi lokal kerjaan hindu istilah xc xa sembahyang xc xa pun lahir tradisi ritus xc xa menyembahhyang tunggal dengan xc xa shalat menyembah all,Normal
kau pendikan bodoh,Abusive
abaikan kaum kampret otak micin,Hate Speech
si otak tempurung mah ga d ladenin smkn d lawan bloon dungu kalo ga gitu ga makan hehe,Abusive
awaasss klu bcr aja micingin mata bibir monyong kesamping suara ky lg nhn kentut,Abusive
babi cina umur taonan tuh,Hate Speech
cerita silat lae xf x f x x kho ping hoo indonesia liang ie shen penulis china,Normal
benci dgn umat islam,Hate Speech
parah lu jawa mainnya pinter dikit napa,Hate Speech
gua nete,Harassment
lol kaum kampret,Hate Speech
takabur lahir penguasa rakyat ulama cendikia iblis mahluq yg alim amp beribadah beratus th dilaknat krn hasud takabburnya ahli ilmu filsafat yg tdk failosof mari demo sendi,Normal
orang suka konserkonser boros,Normal
ulama hukum rokok mubah,Normal
cari safe zone cuy lawan imba,Normal
udah kali gue kpoper kalo ngomong temen gue idol gua banci homo,Harassment
suka mainmu beneran gg dah,Normal
budaya kafir bersungguh klau hal islam diendahkan,Abusive
xf x f x e xb la la lahm hmm xf x f x e xa diam bisu kita coba rumput yg bergoyang xe x xab xe x xab xe x xab xe x xaa xe x xaa xe x xaa,Normal
setan membisikkan waswas kepadamu mintalah perlindungan allah q ala xe x x raf fushilat,Normal
klw ente atheisngapain sibuk dgn agama orang,Normal
kalahin bangsat pake otak lo napa janganjangan ga,Abusive
selamat kartini,Normal
bajingan homo hati anak kamar mandi laki jgn biarkan url,Harassment
iya cocot,Abusive
budaya indonesia,Normal
ngajarin solata ajah orang aseng memecah belah islam,Hate Speech
lo ngomong aja kaga bener bangke,Abusive
mempercayai yg negara disuatu dijajah,Normal
mainnya gitu pengen menang lha yo opo,Normal
kalo seumpama orang cina usir paksa indonesia gimana,Hate Speech
bunda ngentot yuk,Harassment
china babi china maling usir china,Hate Speech
karno anti asing beliau jawa coba deh adain konsensus jawa anti asing pro asing keboohannya,Hate Speech
picek goblok tu mata ga dipake,Abusive
wajar lihat tingkah bbrp petinggi negeri yg suka mencampur bh indonesia dgn bh asing kali bicara,Normal
pribadi yg senang berkompetisi positif,Normal
gua liat babi ngendon,Abusive
suka nutup mata kaga ditutup udah tertutup gara sipit,Hate Speech
sy sbg muslim tdk menistakan kitab suci alquran krn dlm alquran sndri bbrp suku yg smpai dtik blm mkna faktualnya olh umat islam tp yakini tsb makna yg tersirat fiksi yg blm,Normal
eh kasar kau kampang,Abusive
bentar gua rilis album the ontas wkwkwkwkwk,Hate Speech
cebong bang,Hate Speech
najis banget gw ngechat barusan wey,Normal
transgender gmn anjing url,Abusive
awas bintitan lu ngintipin titit kucing,Harassment
bawel baper bolot bodor gaje wkwk ya udah aja deh,Abusive
gue saranin gk bnyk bacot maling ayat langsung to the point aja lu orang yg tdk sepaham lu teriakin aja kafir sesat liberal pemuja dukun bla blaaa hatimu puas dehh,Abusive
kacau lu mainnya goblok,Abusive
main ga sih kalah mulu bego,Abusive
maju lu duit kau goyang kaki pape la duit nak maju kat kau bodo,Abusive
anjirrrr pa banget bro ngeluarin ultinya berbalik ni,Normal
ha ha baca biar pintar jepang amerika china utang lu tau,Normal
gue dah carry loe pade loe berterima kasih gue,Normal
takut adzan iblis,Normal
yg goblog ban cebong tukang tipu penjilat penguasa yg ketahuan gerakin yg dibayar pakai nasi bungkus propaganda nasi bungkus gagal,Hate Speech
wuih cebong sewot xf x f x x xf x f x x xf x f x x,Abusive
gerakan menekankan kerja kera total tingkatkan potensi bangsa,Normal
payah lu gitu aja kalah curut aja pinter lu,Abusive
widih savage banget ngalahin pro player senjata ala kadarnya,Normal
orang orang menuding antek aseng aseng sesungguhnya bertepuk tangan,Hate Speech
loh anti aseng,Hate Speech
selamat semoga berkiprah tingkat nasional,Normal
anjay menang ggwp gaes,Normal
tau ga bro kemarin gw liat tim onoh maennya imba banget ga ngalahin kalo ga savage,Normal
anak pecun ga jauh dr hobi zina haha,Abusive
lu ngancurin lawan ga noob sih mainnya,Normal
musuh loh friendly fire,Normal
jelek muka gw dibicarain temen lo,Normal
pria sukses menghasilkan uang istrinya habiskan perempuan sukses menemukan lakilaki,Normal
cium ni pantat,Harassment
ngakunya org pintar beragama emangnya agama yg memperbolehkan menista menghujat org jgnkan orang bodoh org yg maaf lahir idiot hr hargain ciptaan tuhan iblis pintar licik,Normal
nj n tu emang orangnya,Abusive
payah sih pecun klo maen mesti beban mulu,Harassment
w mantan mantan w mgerasa sedih ampe kepikiran gabisa tidur lohh w ngerasa anak yg brengsek aja gt laki,Normal
cina perusak bangsa usir stuju,Hate Speech
gini nih kalo planga plongo kelakuan otoriter,Abusive
ayo menangin ronde kayak ronde kalah mulu,Normal
tim gua gua pro pake karakter,Normal
ayo mabar gaes buruan masuk tim gw gw dah login ni,Normal
cowo jago drasex ngentot adek luvian,Harassment
bule kapir tauuungapain blajar sm kapirudh lupa sm kapling sorga,Hate Speech
loh nya emang suka homoan hode ya,Harassment
gue tau loh culun cemen orang berubah perlahan buruk,Normal
game masternya baek banget ga segan ngabisin cheater ketahuan betah gw,Normal
kejar setorang bangsad rupiah turun xf x f x xa,Normal
kagak bener ni maennya mati aja lu noob,Abusive
bangke hajar,Abusive
onta mati klo kebanyakan minum,Normal
hajar ancurin kasih ampun,Abusive
ez banget bunuh cupu abis tu emang orang jawa ga maen bagus,Hate Speech
uang membeli kebahagiaan enak nangis dalem mercy nangis motor butut khan,Normal
tujuan hati logikaku yg tapi hati tenang aku logika hatiku sedih ku cari wasiat yg beliau tinggalkan dan terasing asing mata manusia tak duhai,Normal
ga nyali banget si pengecut,Abusive
noob tolol tim tolol tim tolol orang tolol,Abusive
ayu ting ting goyang hot raffi ahmad nagita slavina kampungan norak url,Harassment
video ttg tka malaysia mengutip pernyataan,Normal
buruburu ngalahin pro player strategi gg,Normal
random pagi bapak nyamperin meja kerja trus nanya pake bedak sih biar mukanya bersih istri butek soalnya ingin ku pake air wudhu ku kristen,Normal
kampret,Abusive
memek lonte pengen disodok kontol gede,Harassment
liat tu kampret terbang pepohonan,Normal
ngomong opo itumulut bancibeli kaca lihat dirimu broo,Harassment
amin rasis ada dani ada ratna si paiiit ada si onta ada si lobang anus jdi jngan takut wo wo kehabisan obat penenang yh,Abusive
tunggu komando imam bejat cabul taik beer xf x f x d xba ape bawa ulama dasar banj sempak,Harassment
dih liat buaya tebar pesona,Abusive
dih ngaku pro gue ngaca woyy tampang loe aja k xc xa k orang bego ckakakakak,Abusive
gim dikuasai antek cina pelit banget pribumi ngasih item,Hate Speech
ga caya mulut buaya mu bwang,Abusive
kalo maen serius dikit napa kayak tai,Abusive
kayak banci kaleng gatot gaduh gentleman mundur bersaing,Harassment
bebal emang dikasih tau ga didengerin udah dibilang gegabah ga didengerin,Normal
emang pengen banget bikin muslim terpecah belah namanya antek komunis parah bener kelakuan komunis tu,Hate Speech
kelakuan kayak kunyuk nih nubie,Abusive
eh nubi yang kagak bisa maen mending mati aja sana,Abusive
ez win nih ggwp cakep guy,Normal
eh muka merah tu dpt cendol la setan cuaca skrg ni panas,Abusive
sesering apapun latian aja ga ngalahin imba emang noob tu ga level,Abusive
emang asik liatin pro bertanding adrenalin terpacu sampe detik,Normal
syg bgt ya ngeliat perempuan kyk gini gak status apa tp udah nemplok sm lakilaki haduh nagita slavina blakblakan ayu ting ting kampungan xe x x viva url,Harassment
muuph gan dc parah gw inet bersahabat,Normal
ane cebong udeh dibilangin maren ngeyel situ maksa ane cebong,Hate Speech
kebangeten maennya gobloknya ga kira cupu bener,Abusive
selamat kartini kali dirayakan maknanya kali,Normal
foto bisu tpi memiliki arti yg sush diartikansma susah diartikanmau putus,Normal
hatihati troll udah bagus maennya ngerusak suasana,Normal
sombong bro nyamar noob kalo maen gg banget,Normal
buset gue lag banget nih sampe nggak gerak cuy,Normal
hahaha sialaaan nih si klo lg laper presiden disikat doi,Abusive
menasehati kali ga ugal an nih rezim eh negeri sdh keburu ancornah skrg ekonomi morat marit kacaoooooo,Abusive
aelaah silit kebeler ngapa dikasianin org sayang pak setelah sosmed gw sadar bbrapa seitansai kemarin tar gw ceritain duuuhhh xf x f xa xa xf x f xa xa xf x f x x,Abusive
iya tdi cacad bener maennya anjiiiiiiingggg,Abusive
kalahin si perek pacarnya biarin ngewe gim,Harassment
male dah gue main udah nggak bener toxic game,Normal
maju cuy takut gwa lo,Normal
hajar abisin kasih kendor klo troll aja ampe logout game klo sampe hapus id,Abusive
mudah ya yg kera yg kera nama,Normal
kemarin hujat mengharap dasar ban kampret,Hate Speech
penjelasan sy fitnah silahkan dibantah alquran kitab sampah,Abusive
monyet aja koloe dbilang saudra sma elo ogah hdupmu gini ya toe hati comberan,Abusive
perabotan dapur hidup praktis temukan peralatan dapur inovatif toko online nikmati penawaran spesial pembelian,Normal
cacat krn blum bermasa,Normal
jangan penganut bumi datar xf x f x x d soalnya teori bumi bulat orang asing yg notabane musuh,Normal
dasar penakut pengecut pecundang,Abusive
enak banget dah tuh anjing sialan tinggal k aja,Abusive
vegetarian orang makan apapun memiliki anak,Normal
pencerahan nya gagal anak ekonomi wkwk,Normal
kafan berasal budaya yahudi umat islam mengklaim,Normal
dasar cina komunis gay homo jomok maho hode troll,Harassment
tanda nya rematch ga terima gg maennya,Normal
udah level wa bantu ngegrinding ga,Normal
bro login ayok gue udah otg nih,Normal
apaansi tai gt doang belagunya udah selangit ga inget karma ntar bbrp taun kalo idol lu flop gua ketawa kera,Abusive
celeng kgn gw y,Abusive
sorus kemarin gue dc garagara mati lampu rumah gue,Normal
bantuin gue mythic pake akun smurf lo,Normal
aamiin ya allah timnya kinan aja pelatihan ular rawarawa dapatnya sungai gede gt musuhnya buaya wkwkw,Normal
maju ngatain mama bolot,Abusive
grombolan kadal jidat gosongmmg bgtu sukanya ribut klo grombolanya yg salah pura budekdasar grombolan cingkrang url,Abusive
segitu gentarnya takut kafir xf x f x x,Hate Speech
gerombolan babi kelakuannya kayak gitu bikin susah aja,Abusive
bego lu tmn gua najis dah kesel gue,Abusive
kafir kristen ulah,Hate Speech
tau bau baunya udh keciri sipit buluq,Hate Speech
kayak memegang mucikari,Harassment
yo maen gim aja udah sepi,Normal
anjir serem maennya begituan bikin sange tau xf x f x x xf x f x x c,Harassment
bro gue afk ya disuruh sholat maghrib,Normal
onta yaman ni,Abusive
hatihati berita berbau hoax,Normal
anak modal cocot ya,Abusive
ketauan nubi banget tu orang payah,Abusive
mantaaap maennya gg banget bang,Normal
lebah yg gak suka bunga makan bangkai gw penasaran madu nya kaya gimana xf x f xa x,Normal
indonesia mundur bentuk lha maen game aja cupu cupu gini,Abusive
naahh yg dongo yg bilang hekell hahaha,Abusive
dasar buaya tau player cewe dikeroyok kayak tu cewe pengen dientot aja,Harassment
bangsad gua dah nyelem ampe bawah lgi,Abusive
dipancingpancing dgn urusan penistaan berbicara pemahaman ttg fiksi kitab suci,Normal
cebong kacung kt temen gw dungunya sampe tulang sum jd jgn buang energi debat sm mereka xf x f x x,Hate Speech
tukang ngetroll toxicgoblog,Abusive
signal kntl pemeliharaan niat gak sih login doank susah gmn open redtube cetan,Abusive
matane moh kafir wkwkwk,Abusive
inget fesbuk anjir lupa,Normal
kalo aing sih bilang hilih kntl,Abusive
elu udah pake hijab yg ngomong cebang cebong udah fantasiin doi belom uh ah,Harassment
tatapannya dialihkan arah enggan menatap pria mencurigakan lagipula kali gaduh suasana,Normal
tenang google membantu memecahkan hidup lu chatgpt,Normal
calon cantik ni anak liat aja avanya,Normal
ya terserah lo aja balasnya fokus kerjaan tugas project seni budaya setelahnya langsung dikumpul dipresentasikan bersyukur nilainya memuaskan kejadian project,Normal
ga bro imba bener susah menang mending fokus cari item,Normal
kelakuan bodoh udah tau kalah nekat,Abusive
monyet turun pemukiman ni,Abusive
kotor ga bahagia warganya cebong ngerti,Abusive
giveaway taplak meja menang therichchenle,Normal
elu mainnya gimana dah bego,Abusive
wkwkwkwk bodo bang,Abusive
bikan kaya orang begobro tapimemangbego,Abusive
klhk upayakan pemerataan ekonomi tora kawasan hutan perhutanan sosial tribun medan,Normal
ga anjing,Abusive
orang bego kebanyakan minum amp makan kotoran onta otak nya somplak,Abusive
strategi kemenangan,Normal
orang teman menyebalkan kalo lo ga janganjangan elo,Normal
kalah emang seidiot ya maennya,Abusive
gila cerdik bener dah taktiknya ga salah emang dijuluki pro imba,Normal
gitu mainnya bener gitu khan jg seneng klo gg gini,Normal
lo rabun budek gue nulis gak ngomong xf x f x x xf x f x x,Abusive
bismillah nahan sepo terkutuk,Normal
brahahahaaa cebong nya ngehe xf x f xa xa xf x f xa xa cebong blm cebok xf x f x x,Harassment
apdet status bikin tugas kelar gak ya jancuk mbut,Abusive
muslim pejabat negara bertindak bangsa negara,Normal
ikan yg sembuh sakitnya yg terselamatan bagus laik jual dipisah diseleksi ikan yg cacat permanen pemeliharaan kesehatanikan cc,Normal
pribumi sadari lihat kecuali samasama cina komunis misionaris abaikan chat usir cina indonesia,Hate Speech
ga nangis latian membalaskan kekalahan barusan,Normal
manusia bangsad,Abusive
tpi ya sampe cina mengenalkan wisata haram jga indonesia hahaha,Hate Speech
dateng dah kadal bengkaknya,Abusive
persahabatan salahlovren bukti beda suku agama ra halangan dlm membina hubungan dgn umat manusia perbedaan warna tersendiri dlm menjalin pertemanan terima kasih lovrensalah favourite bff bro,Normal
aja lh lae meskipun sdh turun menurun tp ideologi pki sllu melekat jiwa mreka,Hate Speech
sebel kalo yg ngeroko motor yakan kadang engap kalo ditutup macet xe x xa,Normal
udah maaf kunyuk bro enak bgt rasan merekasebar hoax maafsebar hoax maaf lagi mesti d sapu biar jera nih orang url,Abusive
terbaik mengubah pikiran perempuan setuju pendapat kecuali perempuan lonte duit lo mengubah pendapat,Harassment
perkuat jaringan gubernur menekankan menguasai state of the art knowledge bahasa merantau indonesia,Normal
berhenti lajang menikah,Normal
provider brengsek,Abusive
timnya keren nih susah ngalahinnya,Normal
dungu,Abusive
ga bego,Abusive
kampret complain rag ditanggepi fuck,Abusive
kaya jablay gta maunya dijemput pake mobil,Harassment
lihat memek tante,Harassment
omongan aja alim melulu kelakuan kayak setan,Abusive
hah melengkapi orang buktinya goblok gimana si,Abusive
xe x x ctidak xe x x d salah khalifah rasyidin xe x x ckami memerangi orang kafir mereka xe x x d xe x x ckalau orangorang munafik xe x x d xe x x ctidak orang muna,Normal
doyan nete in maklumin aja kalo sangean,Harassment
lihat match si kacrut bikin kalah ga tendang,Abusive
maap kemarin dc mati lampu sampe pagi,Normal
yg khawatirkan manuver politik kebijakan yg rezim semoga nkri tercinta aamiin,Normal
bajingan emang goblok banget kalo maen,Abusive
bajingan tengik,Abusive
dasar kodok bangkong lambat gerakannya,Abusive
babi nongol tibatiba ilang tibatiba,Abusive
rp haneul cute rlnya perek ngaku aja,Harassment
bilangnya anti asing asengnda taunya wkwkwkwkwk,Hate Speech
pulang cuci kaki bobok ga cocok maen malem gini,Normal
kadang hidup emang kayak tai kadang berak orang elo beresin tainya tangan lo y xe x xa,Normal
ih banci selotipan xf x f x x,Harassment
haha kalah ni yee org jahat kalah,Normal
lewatkan promosi besarbesaran dapatkan blender terbaik harga terjangkau url cepat beli kehabisan,Normal
emang anjing sih kelakuannya ga tau tu anak kayak gitu,Abusive
nantang buka dadalah eh nyebut setanlah emang habis kamus ngelawan,Harassment
belah duren yaaaa gak dunguya gak cebong xf x f x x xf x f x x maaf ya,Harassment
orangorang yahudi nasrani al kitab taurat injil mengenal muhammad,Normal
bunuh aja sisain inget abisin tim ampun,Abusive
dasar bacot lu mulut kayak jamban,Abusive
sekedar share temen kantor kalo pelanggan yg bercadar langsung bilang awas bom menghela nafas xf x f x xaf,Normal
gay lu dasar jomok,Harassment
yg diancam dibunuh presiden republik indonesia ma trus mesti lapor penegak hukum gak bertindak ancaman pembunuhan kepala negaranya,Normal
kayak orang nyosor nete,Harassment
ngewe bae,Harassment
jebur bloon cebur,Abusive
getol dah naikin levelnya ga kerjaan laen,Normal
berani ga lw lawan gw,Normal
kebijakan pengembalian barang kpd konsumen yg barang rusak cacat produksi konsumen puas dgn produk terhitung tanggal pembelian hauzminiquiz hauzid yuk ikutan user,Normal
kisah hidup muhammad lengkap didownload,Normal
penjajahan bumi indonesia hapus penjajahan ekonomi budaya hasil bumi cina basmi nkri usir cina,Hate Speech
we pipis onta tercecer mari pantes bau pesing,Abusive
sapi diperah susunya,Normal
sampe kalah bro savage aja maennya gitu,Normal
kaya monyet,Abusive
gimana menang lawan,Normal
mainnya takut takut maju,Normal
cuba la tgk anime ni karakai jozu no takagisan nak feeling feeling cinta monyet zaman sekolahmemang throwback habes url,Normal
serunya pesta budaya erau kutai kartanegara elu liburan kali,Normal
banget kenalan tante jilboob sange ini namanya tante dea o xe x xa,Harassment
debat publik ajang pembuktian pintar ruang akademik pamer ciamik orang kekuatan kelemahan egosentris namanya kekuatan menahan l,Normal
kacau lu geblek banget ga becus emang lawan noob aja kalah,Abusive
hebat banget maennya bikin gw pengen muntah muka lo,Abusive
gk apa muslim menghinakan iblis betina sdh menista syariat,Abusive
baby kafir budha teroris myanmar,Hate Speech
indonesia blom merdeka indonesia dijajah orang cina,Hate Speech
edan tenan maen taktiknya bagus pro banget,Normal
jongos mamarika ayo cepet tobat,Hate Speech
follow bli katolik akun prof utk menambah wawasan berbangsaterima kasih,Normal
tuh si bejat cabul pengecut si onta ye,Abusive
dasar kebo jam segini bangun,Abusive
gaya lu kaya beruk gini klo supir tembak metromini maen game kampungan lu,Abusive
km mainstream mengaartikan pintar pintar relatif tergantung mo dibawa kemana pengertiannya spt pintar mengundeeestimatekan org gw pinter komen ajah rejim now pinter mangkrakin janji doang somaking,Abusive
emang gw dongo bloon idiot lo,Abusive
ih masak samain smaa sampah xf x f x xa xf x f x xa xf x f x xa,Abusive
konsumsi makanan sehat blender kekinian dapatkan diskon terbatas buruan beli,Normal
aspirasi lina sumedang calon gubernur jabar berantas pelakor sdh meresahkan kehidupan warga desa,Normal
yaaelah chat aja loe urusin noh yg dah keliatan mesum pd mingkem yg nyata selingkuh th pura budek gk nyampe otaknya,Harassment
tu takut dgn cina parti dap bimbang fahaman dibawa,Hate Speech
cermin pecah berkaca,Normal
lansung ngomong orangnya ga berani ya kau banci,Harassment
awwww comelnya budak pengen kujadikan adek,Normal
islam menjadikan manusia idealis realistis kehidupan lupa diajak kera diajak beristirahat,Normal
kristus anjing asu jiamput keparat picek telek pejuh siwuk kotang siwuk idiot keparat picek telek pejuh siwuk kotang siwuk idiot keparat picek telek pejuh siwuk kotang siwuk idiot keparat picek telek pejuh siwuk kotang siwuk idiot keparat picek telek pejuh siwuk k,Hate Speech
perabotan dapur hidup praktis temukan peralatan dapur inovatif url nikmati penawaran spesial pembelian,Normal
butuh kemudahan mencuci pakaian cek koleksi mesin cuci terbaik dapatkan penawaran spesial diskon minggu,Normal
ahhh perasaanmu utk menghibur cebong tdk bahagia presiden cebong tol cebong lha elo germo xf x f x x xf x f x x xf x f x x,Harassment
resah jd presiden hidup penuh drama pencitraan main ftv aja joko judulnya url,Abusive
agama kristen golongan darah b asal san fernando valley,Normal
budha bunuh muslim myanmar,Hate Speech
yahudi bangke jerman ibadah,Hate Speech
bacot aja lu gitu maen ga nyalinya pengecut,Abusive
cina ga tau diuntung,Hate Speech
hoax kodok biawak meroket sekop bangsat karbitan munafik,Abusive
yg ribut komunis blabla emoh baca yg baca kalo niat agitasi nyerang pemerintah pake cari simpatisan,Abusive
kerepotan menggoreng penggoreng aman anti lengket nikmati diskon pembelian,Normal
gorengan nih gan drama gibahin bareng,Normal
gak vital gimana udah inter gak bek kanan yg jd pembeda ya era maicon dambrosio baru kedatangan cancelo bagusnya hmmmmberarti kesimpulannya yg geblek ausilio xf x f x x xf,Abusive
namanya jg agama munafik,Hate Speech
foto selfie sulit elunya ga menarik coba ngaca ya elu item sipit keriting,Hate Speech
mencium bau bau pecun url,Harassment
berhenti konsumen wisata haji umoh yg menipu podusen wisata jiarah indonesia,Normal
pemburu nazi simon wiesenthal memegang fotofoto menggambarkan mantan kepala gestapo walter rauff van kamar gas bergerak mengeksekusi orangorang yahudi,Normal
yg cacimaki penista agama ketauan poligami ngumpet digituin sih ogah,Normal
udahan aja ah male gw maen cupu cupu,Abusive
lu kacungnya musuh menang babi,Abusive
wkwkwkwk mampus pepet ujin ah tau ewe,Harassment
orang bahagia merasakan kesedihan matahari hujan,Normal
azan tv manggil allah swt dungu biadab dihentikan acara catut nama tuhan dilanjutkan,Abusive
kelakuan ban cebong,Hate Speech
dah la baju yahudi betopi ba tu geng jubah putih kopiah minyak atar bejanggut dahi belekuk bak ahli syurga ni betol out of place mohon ak direjam,Normal
gua ge marah auto blacklist kehidupan gue sampah gunanya kalo ga didaur ulang,Normal
anjir rasanyaa bekas silit mah,Harassment
cebong kepanasan ngawur xf x f x x xf x f x x,Abusive
amin smoga bertiga jd menampilkan terbaik menyumbangan medali sumsel,Normal
anak setan berisik kau mandul,Abusive
kesalahan lu bijak pencapaian lu sombong,Normal
membingkai bangkai menjadikannya pelajaran hidup,Normal
edan aq masi newbie menangis liatnya yampun kartu r w aja masi dikit bat,Normal
nahklo pki alias partai korupsi indonesia diganyang ga,Abusive
perempuan kaya lo mending mati aja deh jelek aja gausa sok make up artist,Harassment
buseeeet dijual gua kaya jablay,Harassment
bijak petugas jajaran krl doang penumpang follower doang xe x xb xef xb x f nyuruh orng utk mengerti ga mengerti kebutuhan orng bangke,Normal
kyknya titit nya sambung trus pake accessoris jg,Harassment
mata w pa sipit tp skrg engga aneh pisan,Normal
ko ingt banci gigih nk url,Harassment
mewaspadai cina komunis indonesia,Hate Speech
banci kampungan heeee,Harassment
gembel ganteng ga dikasihani byk yg mencintainya asik asik jos,Normal
orang lemah balas dendam orang kuat memafkan orang pintar mengabaikan,Normal
memperlakukan orang seburuk perbuatan perlakukan orang perbuatan,Normal
emangnya najis,Abusive
sastra e karl mark pentolan komunis rusia,Normal
otak kayaknya bener bener bool deh mess trus harinua makan silit gtu,Harassment
ganti kacung cebong mah gitu kalo,Hate Speech
heh cina belagu hak lu melarang,Hate Speech
hebat bicara cinta pegang quran sbagai pegangan hidup quran bicara cinta perang bunuh penggal,Abusive
jomblo jablay,Harassment
perjaka kq jual sok sok an booking tante idiot njir,Harassment
rev jgn pilih ulama yg dg kafir munafik,Abusive
ngejaga kebersihan lingkungan tuh orang melek kewajibannya buang sampah ngomong petugas kebersihannya,Normal
terbaik indah dunia disentuh dirasakan hati,Normal
ooo camtu biasalah kena seimbang nakal kucing anjing abang lainlain darkside brightside chill sosial la kalai takde pelengkap kahkahkah k bang selamat maju jaya dah terjawab terima kasih,Normal
apapun membuatmu sedih tinggalkan apapun bahagia simpanlah,Normal
gampang kak u buka hp buka browser ketik budaya palembang silahkan menikmati pembelajaran denngan gratis,Normal
segerombolan onta yg ngaku membela umat semata kepentinga politik praktistgb demokratis mementingkan umat yg berpikiran modernsalut untukmu tgb,Abusive
culun mending pulang kampung aja,Abusive
goyangan jilboob mantap bener nih hyper kontol doi tadi squirt loh xf x f x x d xf x f x x d xf x f x x d yang nonton live nya besok doi xe x xa,Harassment
islam indonesia islam nusantara islam modifikasi rupa masuk budaya indonesia beragam islam nusantara islam toleran,Normal
presiden aspek indonesia mbak anti investasi asing berubah invasi asing kewajiban warga negara utk melawannya,Normal
zona nyaman indah tumbuh,Normal
kalimantan sdh matlam gini batu bara nya keruk listriknya megap,Normal
fardu kifayah berhukum wajib ajaran islam pilpres utusan kalangan santri disokong ulama maju memimpin negeri,Normal
hah bangke emang nih truk,Abusive
mempercayai keajaiban permulaan,Normal
cebong kampret onta ngak bersinggungan laut,Hate Speech
risa pulang pelatihan iris hazel miliknya menangkap siluet gadis gadis asing belum risa temui gadis radio tempatnya tinggal r,Normal
hahahaha orang gila ngomong cak makanya micin biar otak loe encer cong ngomong ae ngawur muslim muslim silit taubabi,Abusive
coba ngaca n introspeksiapakah keluarga yg gak pake hijab komunis jgaotak dipakai jgn cmn jd property or pa,Abusive
muhammadiyah inggris jalin kerjasama pengendalian ekstrimisme,Normal
kalo neraka terkena bom surga org dimuka bumi goku,Normal
bot nanya ich liebe dich yg ntar bot kasih aipet yg barusan nyemplung jamban kuda xe x xa xcc xaf xcd xa xe x xa xcc xaf xcd xa,Normal
tendang aja player bodoh turunkan rank sampe orang bego,Abusive
bodo anjir bodo ngakak gua ngakak astagfirullah humor bet url,Normal
matamu picek cukk ora delok prestasimu guoblokkk tolol,Abusive
menang aja gayanya udah kayak anjing jancok emang,Abusive
coba dedengkot jin terang ulama saudi rilis publik akidah jin contoh jin anggap kafir pemeluk kristen hindu budha dll peluang masuk surga aku fatwa saudi jin adal,Normal
hujan lebat langit gelapgelita guruh kilat menyumbat jarinya telinga masingmasing mendengar suara petir kerana takut mati masakan terlepas allah me,Normal
cerdas konseptual,Normal
namaku baek yoon xe x x gi ucapan terputus seiring mengerjap mata mengantuk gigit bibirnya ragu menggapai gelas meminum wine ditinggal m,Normal
